# these are fakes data generated using Faker library and some random generators in order to not add real company data
Name,Sectors,Location,url,Number of Employees,Logo URL,Number of Job Offers
"Brown LLC","Development worker, community, Retail manager, Lexicographer","Alishaburgh, Saint Lucia","https://turner.org/brown-llc","201-500 employees","https://placekitten.com/200/200","27 job offers"
"Black, Wilson and Boyd","Therapist, horticultural, Telecommunications researcher","Shannonstad, Tokelau","https://alexander-mejia.com/black--wilson-and-boyd","51-200 employees","https://dummyimage.com/200x200","4 job offers"
"York, Fleming and Mahoney","Local government officer, product designer","Fieldsmouth, Singapore","https://hunt.org/york--fleming-and-mahoney","51-200 employees","https://dummyimage.com/200x200","20 job offers"
"Wheeler, White and Braun","Engineer, biomedical, Media planner","North Yeseniaview, Romania","https://owens.com/wheeler--white-and-braun","1-10 employees","https://placekitten.com/200/200","31 job offers"
"Gonzalez, Ortega and Baker","Environmental education officer","North Jonathon, Palau","https://griffin.info/gonzalez--ortega-and-baker","51-200 employees","https://placekitten.com/200/200","1 job offers"
"Ramirez-Porter","Psychotherapist, Illustrator, Facilities manager","West Marychester, Andorra","https://garcia.net/ramirez-porter","5001+ employees","https://dummyimage.com/200x200","35 job offers"
"Little and Sons","pre, Theatre manager","Markberg, Barbados","https://lopez.info/little-and-sons","1001-5000 employees","https://placekitten.com/200/200","14 job offers"
"Jacobs, Miller and Strickland","Private music teacher, Database administrator, Air traffic controller","Port Davidhaven, Russian Federation","https://cruz.com/jacobs--miller-and-strickland","1001-5000 employees","https://placekitten.com/200/200","17 job offers"
"Benton PLC","Scientist, research (physical sciences)","Carrieton, Kenya","https://mitchell.com/benton-plc","1001-5000 employees","https://dummyimage.com/200x200","16 job offers"
"Valencia and Sons","video, Physiotherapist, Oncologist","Smithchester, Russian Federation","https://williams-silva.com/valencia-and-sons","1001-5000 employees","https://placekitten.com/200/200","6 job offers"
"Hall, Wilson and Gardner","Engineer, maintenance, English as a foreign language teacher","Lake Ashley, New Caledonia","https://ponce.org/hall--wilson-and-gardner","1-10 employees","https://picsum.photos/200/200","13 job offers"
"Soto LLC","Production manager, Nurse, mental health, Insurance risk surveyor","Carolynville, Saint Helena","https://martinez.biz/soto-llc","11-50 employees","https://placekitten.com/200/200","29 job offers"
"Lopez Inc","Naval architect, Trade mark attorney","Port Shawna, Barbados","https://sanchez.com/lopez-inc","501-1000 employees","https://picsum.photos/200/200","12 job offers"
"Hall, Lawrence and Solomon","Industrial buyer","Rodriguezton, Niue","https://williams.biz/hall--lawrence-and-solomon","501-1000 employees","https://picsum.photos/200/200","26 job offers"
"Cooper, Bell and Perez","Web designer, Risk manager","South Carlosfort, Norway","https://church.com/cooper--bell-and-perez","1-10 employees","https://placekitten.com/200/200","22 job offers"
"Mitchell, Downs and Martinez","Drilling engineer, Engineer, civil (consulting), Herpetologist","Kurtmouth, Tajikistan","https://salazar.com/mitchell--downs-and-martinez","51-200 employees","https://placekitten.com/200/200","27 job offers"
"Paul Ltd","Merchant navy officer, Child psychotherapist, Technical brewer","West Thomas, Spain","https://brennan.com/paul-ltd","1001-5000 employees","https://dummyimage.com/200x200","18 job offers"
"Zavala, Martinez and Bowen","Physiological scientist, Sports development officer, Air traffic controller","Martinezburgh, Greece","https://schroeder.info/zavala--martinez-and-bowen","501-1000 employees","https://picsum.photos/200/200","4 job offers"
"Thompson, Moore and Hahn","Surveyor, planning and development, Loss adjuster, chartered","New Alexanderbury, Monaco","https://payne.com/thompson--moore-and-hahn","1001-5000 employees","https://picsum.photos/200/200","5 job offers"
"Hartman-Smith","gallery conservator, Therapist, speech and language","Ramseystad, Philippines","https://black.com/hartman-smith","501-1000 employees","https://picsum.photos/200/200","33 job offers"
"Weber-Johnson","Clinical psychologist, Accounting technician","New Eddieport, Bahamas","https://perez.com/weber-johnson","5001+ employees","https://placekitten.com/200/200","21 job offers"
"Shepherd Inc","education manager","East Richard, Isle of Man","https://cruz.com/shepherd-inc","201-500 employees","https://dummyimage.com/200x200","32 job offers"
"Moore, Mcgrath and Colon","Fashion designer","Frankhaven, Bangladesh","https://buck.com/moore--mcgrath-and-colon","201-500 employees","https://dummyimage.com/200x200","33 job offers"
"Brooks, Johnson and Snyder","Cabin crew, Solicitor, Health and safety inspector","Fernandoton, Monaco","https://roberts.info/brooks--johnson-and-snyder","5001+ employees","https://picsum.photos/200/200","29 job offers"
"Newton-Fuller","Animal nutritionist, Community pharmacist","West Leslieborough, Suriname","https://moody-chase.net/newton-fuller","5001+ employees","https://placekitten.com/200/200","10 job offers"
"Vang LLC","Training and development officer, Nurse, adult, residential","Wrightfort, Armenia","https://spencer-clark.net/vang-llc","501-1000 employees","https://dummyimage.com/200x200","12 job offers"
"Wilcox-Wright","Photographer, Race relations officer, Surgeon","West Sonyashire, Myanmar","https://barnes.biz/wilcox-wright","51-200 employees","https://dummyimage.com/200x200","24 job offers"
"Rodriguez, Carey and Johnson","Social research officer, government, Maintenance engineer","East Cassieview, Norfolk Island","https://sheppard.org/rodriguez--carey-and-johnson","11-50 employees","https://dummyimage.com/200x200","5 job offers"
"Cooper, Lopez and Beck","Logistics and distribution manager","East Wendy, Russian Federation","https://howard.com/cooper--lopez-and-beck","11-50 employees","https://placekitten.com/200/200","40 job offers"
"Gonzalez Group","process development scientist, Dispensing optician","Port Amyhaven, Cocos (Keeling) Islands","https://bowman.com/gonzalez-group","501-1000 employees","https://dummyimage.com/200x200","15 job offers"
"Malone, Walker and Wall","Lobbyist","West Amber, Algeria","https://mccann.com/malone--walker-and-wall","201-500 employees","https://placekitten.com/200/200","9 job offers"
"Anderson LLC","Investment banker, corporate, Associate Professor, Horticulturist, commercial","Garyburgh, Saudi Arabia","https://gonzalez.com/anderson-llc","11-50 employees","https://placekitten.com/200/200","17 job offers"
"Valentine, Mccarthy and Young","Psychologist, educational, Accountant, chartered, Orthoptist","Davidburgh, Hong Kong","https://watson.net/valentine--mccarthy-and-young","5001+ employees","https://dummyimage.com/200x200","32 job offers"
"Moreno-Chase","Chief Operating Officer","New Kaitlin, Ukraine","https://anderson-pittman.com/moreno-chase","1001-5000 employees","https://picsum.photos/200/200","4 job offers"
"Randall, Clark and Perry","Psychiatric nurse, Medical illustrator, Therapist, music","Taylorton, French Southern Territories","https://taylor.biz/randall--clark-and-perry","1001-5000 employees","https://dummyimage.com/200x200","38 job offers"
"Wilson and Sons","Psychologist, educational, Sports coach, Teacher, special educational needs","North Coryhaven, Hungary","https://shaw-robinson.org/wilson-and-sons","51-200 employees","https://picsum.photos/200/200","35 job offers"
"Mills LLC","Management consultant","West Maryhaven, Guatemala","https://potts.org/mills-llc","1001-5000 employees","https://picsum.photos/200/200","26 job offers"
"Brewer and Sons","Systems developer, Research officer, political party, Print production planner","Lake Kara, Gibraltar","https://garcia.com/brewer-and-sons","11-50 employees","https://picsum.photos/200/200","0 job offers"
"Rangel, Sanders and Martinez","Aid worker, Mining engineer","South Amandastad, Trinidad and Tobago","https://li-wolf.net/rangel--sanders-and-martinez","201-500 employees","https://placekitten.com/200/200","5 job offers"
"Johnson, Johnson and Walker","Tree surgeon","New Krystalside, Hong Kong","https://romero-peterson.biz/johnson--johnson-and-walker","501-1000 employees","https://placekitten.com/200/200","24 job offers"
"Bryant, Chase and Vincent","Corporate investment banker","East Carla, Pakistan","https://hernandez.com/bryant--chase-and-vincent","11-50 employees","https://dummyimage.com/200x200","1 job offers"
"Romero, Green and Beck","Recruitment consultant, Charity fundraiser, Special effects artist","Campbellstad, United States of America","https://goodwin-haney.com/romero--green-and-beck","1001-5000 employees","https://dummyimage.com/200x200","30 job offers"
"Snow, Foley and Haynes","Pathologist, Local government officer, Health and safety inspector","Leroyberg, Comoros","https://kerr.biz/snow--foley-and-haynes","5001+ employees","https://picsum.photos/200/200","18 job offers"
"Lamb-Martinez","Mudlogger, Product manager","Aguilarside, Holy See (Vatican City State)","https://jones.com/lamb-martinez","201-500 employees","https://dummyimage.com/200x200","28 job offers"
"Thompson Ltd","Network engineer, Environmental consultant, Administrator, arts","West Christina, Faroe Islands","https://macdonald-garcia.info/thompson-ltd","11-50 employees","https://placekitten.com/200/200","34 job offers"
"Coleman Inc","Private music teacher, Ship broker","Kennethberg, Kuwait","https://buckley.com/coleman-inc","201-500 employees","https://placekitten.com/200/200","38 job offers"
"Bailey LLC","Sports administrator","Matthewberg, Holy See (Vatican City State)","https://gutierrez-roberts.biz/bailey-llc","1001-5000 employees","https://picsum.photos/200/200","22 job offers"
"Smith and Sons","Journalist, magazine, Exercise physiologist, Equities trader","Port Amber, Saint Helena","https://howard.com/smith-and-sons","201-500 employees","https://placekitten.com/200/200","22 job offers"
"Williams, Barker and Diaz","Market researcher, Futures trader, Control and instrumentation engineer","Goodmanton, Netherlands Antilles","https://livingston-atkins.info/williams--barker-and-diaz","11-50 employees","https://picsum.photos/200/200","8 job offers"
"David-Bell","Engineer, energy, Surveyor, minerals, Health and safety adviser","Kingville, Venezuela","https://day.com/david-bell","5001+ employees","https://dummyimage.com/200x200","32 job offers"
"Waters, Thompson and Robertson","Microbiologist","Juanview, Macao","https://williams-mcdonald.com/waters--thompson-and-robertson","1-10 employees","https://picsum.photos/200/200","40 job offers"
"Lam-Cortez","Further education lecturer, Education officer, museum, Pilot, airline","Port Michaelborough, Saint Vincent and the Grenadines","https://hicks.com/lam-cortez","5001+ employees","https://dummyimage.com/200x200","7 job offers"
"Smith Inc","Drilling engineer, Counsellor","Gardnerfort, American Samoa","https://brown-mann.info/smith-inc","501-1000 employees","https://picsum.photos/200/200","34 job offers"
"King, Stout and Johnson","Financial adviser, Designer, multimedia","West Bradley, Brunei Darussalam","https://henderson-jacobs.com/king--stout-and-johnson","1-10 employees","https://placekitten.com/200/200","26 job offers"
"Roberson Inc","voluntary organisations","Lake Robert, Philippines","https://smith.org/roberson-inc","5001+ employees","https://picsum.photos/200/200","29 job offers"
"Wells and Sons","Biomedical scientist","Walterview, Palestinian Territory","https://french-garcia.com/wells-and-sons","501-1000 employees","https://dummyimage.com/200x200","34 job offers"
"Tucker-Miller","Financial trader, Occupational therapist","Dianashire, Cote d'Ivoire","https://vance-griffith.com/tucker-miller","1001-5000 employees","https://placekitten.com/200/200","18 job offers"
"Gray-Perry","Artist","East Rhondachester, Nauru","https://garza.com/gray-perry","201-500 employees","https://dummyimage.com/200x200","2 job offers"
"Thompson-Edwards","Further education lecturer, Textile designer, Training and development officer","North Kevin, Morocco","https://williams.com/thompson-edwards","11-50 employees","https://placekitten.com/200/200","13 job offers"
"Mccoy Inc","Agricultural consultant, Leisure centre manager","South Melissahaven, Cayman Islands","https://burton.info/mccoy-inc","5001+ employees","https://picsum.photos/200/200","22 job offers"
"Gomez, Huber and Wong","Leisure centre manager","New Patricia, Cuba","https://rocha.com/gomez--huber-and-wong","51-200 employees","https://picsum.photos/200/200","15 job offers"
"Perez-Sellers","Technical author, Learning disability nurse","West Nicole, Mauritania","https://tucker-guerrero.com/perez-sellers","51-200 employees","https://dummyimage.com/200x200","40 job offers"
"Nelson, Miller and Bailey","Cabin crew","Lake Williamchester, Cyprus","https://pitts.info/nelson--miller-and-bailey","5001+ employees","https://dummyimage.com/200x200","31 job offers"
"Mitchell and Sons","Sales professional, IT","Jakehaven, Brazil","https://wilson-dean.biz/mitchell-and-sons","11-50 employees","https://placekitten.com/200/200","26 job offers"
"Smith-Freeman","Advertising copywriter, Agricultural engineer","Bishopbury, Mexico","https://payne-brown.com/smith-freeman","5001+ employees","https://placekitten.com/200/200","26 job offers"
"Rogers-Freeman","Games developer","East Pam, Pitcairn Islands","https://hoover.org/rogers-freeman","501-1000 employees","https://dummyimage.com/200x200","19 job offers"
"Morales Group","Police officer, Civil Service fast streamer","Jodyview, Netherlands Antilles","https://chen.com/morales-group","1-10 employees","https://dummyimage.com/200x200","38 job offers"
"Becker, Lopez and Smith","restorer","South Cassandrafurt, North Macedonia","https://davidson-hopkins.com/becker--lopez-and-smith","201-500 employees","https://placekitten.com/200/200","24 job offers"
"Garcia, Carroll and Kelly","Surveyor, quantity, Dancer","Marshborough, Mozambique","https://wu-lopez.info/garcia--carroll-and-kelly","1001-5000 employees","https://placekitten.com/200/200","30 job offers"
"Harrison PLC","Geologist, wellsite, Health and safety adviser","East Donald, Namibia","https://flores.org/harrison-plc","1001-5000 employees","https://placekitten.com/200/200","40 job offers"
"Smith-Barrett","Forensic scientist","Ramseyhaven, Myanmar","https://hall.com/smith-barrett","11-50 employees","https://picsum.photos/200/200","17 job offers"
"Lopez, Howard and Johnson","Occupational therapist","Philipton, Jamaica","https://morgan-mason.com/lopez--howard-and-johnson","201-500 employees","https://picsum.photos/200/200","25 job offers"
"Allison-Costa","Engineer, manufacturing","Mirandachester, French Polynesia","https://johnson-griffin.org/allison-costa","11-50 employees","https://dummyimage.com/200x200","22 job offers"
"Rowland Inc","Higher education careers adviser, Adult nurse","Kathrynmouth, Morocco","https://singleton.com/rowland-inc","1001-5000 employees","https://dummyimage.com/200x200","22 job offers"
"Compton-Morris","Advertising account planner","Leeville, Saudi Arabia","https://thomas-davis.com/compton-morris","11-50 employees","https://dummyimage.com/200x200","25 job offers"
"Matthews-Johnson","Recruitment consultant, Charity fundraiser","Edwardsport, Venezuela","https://anderson.info/matthews-johnson","51-200 employees","https://picsum.photos/200/200","12 job offers"
"Davis Inc","Illustrator, Accountant, chartered public finance","East Richard, Tonga","https://johnson.com/davis-inc","5001+ employees","https://picsum.photos/200/200","11 job offers"
"Cabrera, Johnson and Smith","Diplomatic Services operational officer, Amenity horticulturist","East Melissa, Cyprus","https://montoya.biz/cabrera--johnson-and-smith","1-10 employees","https://dummyimage.com/200x200","8 job offers"
"Hamilton, Rich and Perez","Structural engineer, Clinical research associate","Port Jessica, Christmas Island","https://mcgee.org/hamilton--rich-and-perez","1001-5000 employees","https://picsum.photos/200/200","15 job offers"
"Bolton, Strickland and Hood","Graphic designer, Records manager, Landscape architect","Osborneshire, Montserrat","https://cooper.com/bolton--strickland-and-hood","51-200 employees","https://picsum.photos/200/200","23 job offers"
"Watson Ltd","Merchant navy officer","Charlesshire, Armenia","https://carroll.com/watson-ltd","11-50 employees","https://dummyimage.com/200x200","39 job offers"
"Ward, Hoffman and Gray","Forensic scientist, Health promotion specialist","Chenland, Ecuador","https://collins.info/ward--hoffman-and-gray","5001+ employees","https://picsum.photos/200/200","24 job offers"
"Stafford, Jones and Thompson","Airline pilot","Port Nancyview, India","https://landry.com/stafford--jones-and-thompson","51-200 employees","https://placekitten.com/200/200","37 job offers"
"Miller, Mata and Bailey","Product manager","East Corey, Czech Republic","https://carrillo-bridges.com/miller--mata-and-bailey","1001-5000 employees","https://placekitten.com/200/200","30 job offers"
"Ruiz Group","Copy, Community development worker, Early years teacher","Mendozaborough, Spain","https://sanders-allen.org/ruiz-group","5001+ employees","https://dummyimage.com/200x200","39 job offers"
"Wall-Davis","Arboriculturist","Simsborough, Falkland Islands (Malvinas)","https://gonzalez.net/wall-davis","5001+ employees","https://dummyimage.com/200x200","12 job offers"
"Chaney-Smith","film, Surgeon","North Jenniferburgh, Central African Republic","https://hale.com/chaney-smith","1001-5000 employees","https://placekitten.com/200/200","0 job offers"
"Walsh-Ryan","Accounting technician, Learning disability nurse, Teacher, adult education","Gardnerside, Vietnam","https://gates-ross.biz/walsh-ryan","1001-5000 employees","https://picsum.photos/200/200","11 job offers"
"Jenkins Inc","Medical laboratory scientific officer, Fisheries officer, Soil scientist","Benderberg, Kenya","https://bond.com/jenkins-inc","501-1000 employees","https://picsum.photos/200/200","38 job offers"
"Hall and Sons","Scientist, clinical (histocompatibility and immunogenetics), Psychologist, sport and exercise","Scotthaven, Guadeloupe","https://merritt.com/hall-and-sons","11-50 employees","https://picsum.photos/200/200","1 job offers"
"Hamilton, Gonzales and Miller","Astronomer, Clinical research associate, Engineer, chemical","Kramerville, Guernsey","https://meyer.net/hamilton--gonzales-and-miller","201-500 employees","https://placekitten.com/200/200","25 job offers"
"Larson Ltd","voluntary organisations","Ashleyfort, United Arab Emirates","https://russell.com/larson-ltd","201-500 employees","https://placekitten.com/200/200","25 job offers"
"Phillips, Madden and Malone","Proofreader, Information systems manager","New Michealmouth, Bulgaria","https://bush-ramos.com/phillips--madden-and-malone","501-1000 employees","https://picsum.photos/200/200","4 job offers"
"Duran, Duran and Holland","Retail banker","Teresaland, Australia","https://jimenez-watkins.biz/duran--duran-and-holland","1001-5000 employees","https://picsum.photos/200/200","39 job offers"
"Allen-Scott","Designer, graphic, Advice worker, ranger","Port Nicole, Kenya","https://gates.biz/allen-scott","1001-5000 employees","https://picsum.photos/200/200","23 job offers"
"Clark-Dudley","Estate agent","East Courtneytown, French Southern Territories","https://gill.com/clark-dudley","201-500 employees","https://dummyimage.com/200x200","11 job offers"
"Walters LLC","field seismologist","New Kaitlynton, Italy","https://smith-robinson.com/walters-llc","1-10 employees","https://placekitten.com/200/200","36 job offers"
"Leon-Martin","Production assistant, radio, education manager","Port Bryan, Latvia","https://olson.net/leon-martin","1-10 employees","https://placekitten.com/200/200","23 job offers"
"Richardson Group","Software engineer, Therapist, occupational, Sports administrator","Port Carlberg, Czech Republic","https://whitney.com/richardson-group","51-200 employees","https://placekitten.com/200/200","14 job offers"
"Myers, Carter and Simmons","Personal assistant, Engineer, maintenance, Corporate treasurer","Janetland, Kenya","https://green.org/myers--carter-and-simmons","1001-5000 employees","https://picsum.photos/200/200","0 job offers"
"Robbins-May","Environmental education officer, Aid worker","South Alicia, Nauru","https://anderson.com/robbins-may","11-50 employees","https://dummyimage.com/200x200","33 job offers"
"Jimenez-Mooney","Mechanical engineer, Buyer, industrial","Michaelstad, Anguilla","https://bennett.com/jimenez-mooney","201-500 employees","https://placekitten.com/200/200","25 job offers"
"Lee, Aguirre and Cook","Artist, Communications engineer","West Janice, Luxembourg","https://cook-smith.net/lee--aguirre-and-cook","201-500 employees","https://placekitten.com/200/200","15 job offers"
"Stark Ltd","film set, Police officer","West Cynthiatown, Cambodia","https://bell.com/stark-ltd","11-50 employees","https://dummyimage.com/200x200","30 job offers"
"Martin, Sanchez and Miller","Programmer, applications","Jenniferton, Switzerland","https://robinson.com/martin--sanchez-and-miller","11-50 employees","https://placekitten.com/200/200","10 job offers"
"Orr, Hernandez and Brown","Teacher, music","Port Dylanview, Bahamas","https://martinez.com/orr--hernandez-and-brown","5001+ employees","https://dummyimage.com/200x200","11 job offers"
"Carter Ltd","Private music teacher, spatial, Analytical chemist","South Christopher, Bahrain","https://hall.com/carter-ltd","1001-5000 employees","https://dummyimage.com/200x200","1 job offers"
"Sparks-Miller","Engineer, biomedical, Police officer, Animator","Boltontown, Slovenia","https://smith.net/sparks-miller","1001-5000 employees","https://dummyimage.com/200x200","6 job offers"
"Newman, Wyatt and Orr","Dispensing optician, Patent examiner","Garciamouth, Bermuda","https://woods-garcia.biz/newman--wyatt-and-orr","1-10 employees","https://picsum.photos/200/200","13 job offers"
"Donaldson, Bailey and Stewart","Technical author, Counselling psychologist, Psychiatric nurse","Lake Hannah, Ukraine","https://murphy.com/donaldson--bailey-and-stewart","5001+ employees","https://placekitten.com/200/200","34 job offers"
"Smith, Oneal and Carter","Psychologist, occupational, Veterinary surgeon","New Williamton, El Salvador","https://murphy.com/smith--oneal-and-carter","201-500 employees","https://picsum.photos/200/200","22 job offers"
"Hernandez LLC","Quantity surveyor, Journalist, broadcasting, Immigration officer","New Katiebury, Ecuador","https://wilkinson.biz/hernandez-llc","501-1000 employees","https://picsum.photos/200/200","30 job offers"
"Santiago-Reynolds","Doctor, general practice","West Miguel, Cuba","https://baker.com/santiago-reynolds","51-200 employees","https://dummyimage.com/200x200","9 job offers"
"Miller, Tran and Foster","Communications engineer, Research officer, government, Health visitor","West Adam, Brazil","https://robinson.com/miller--tran-and-foster","201-500 employees","https://placekitten.com/200/200","6 job offers"
"Schmitt, King and Dawson","clothing","Moontown, Tuvalu","https://allen.info/schmitt--king-and-dawson","5001+ employees","https://dummyimage.com/200x200","4 job offers"
"Lawson Inc","Hydrogeologist","South Deannafurt, Georgia","https://adams-rodriguez.net/lawson-inc","51-200 employees","https://picsum.photos/200/200","35 job offers"
"Lopez Ltd","Waste management officer, Animal nutritionist, Archaeologist","Lake Sherylberg, Cote d'Ivoire","https://boyle.info/lopez-ltd","51-200 employees","https://picsum.photos/200/200","5 job offers"
"Hubbard Inc","Loss adjuster, chartered, Sales executive","Timothyview, Syrian Arab Republic","https://miller.com/hubbard-inc","5001+ employees","https://placekitten.com/200/200","33 job offers"
"Robinson Ltd","Transport planner, pottery","New Samantha, Dominica","https://farmer-khan.com/robinson-ltd","201-500 employees","https://picsum.photos/200/200","21 job offers"
"Bates-Smith","Psychologist, sport and exercise, Engineer, aeronautical","Foxbury, Uzbekistan","https://neal-marshall.org/bates-smith","51-200 employees","https://picsum.photos/200/200","7 job offers"
"Daniels Ltd","Surveyor, building control","Kellichester, Congo","https://miller.net/daniels-ltd","51-200 employees","https://picsum.photos/200/200","20 job offers"
"Elliott-Booker","Actor","West Aprilshire, Malawi","https://hoffman-foster.info/elliott-booker","501-1000 employees","https://picsum.photos/200/200","34 job offers"
"Williams, Romero and Howe","Editorial assistant, Engineer, electronics","West Danielport, Belgium","https://cook.biz/williams--romero-and-howe","201-500 employees","https://dummyimage.com/200x200","34 job offers"
"Bowman-Garcia","Volunteer coordinator","Port Ashley, Chile","https://lopez.com/bowman-garcia","1-10 employees","https://placekitten.com/200/200","15 job offers"
"Murray, Zhang and Jones","Engineer, maintenance (IT)","Jasonberg, Mexico","https://small.info/murray--zhang-and-jones","1001-5000 employees","https://dummyimage.com/200x200","26 job offers"
"Mcguire-Soto","Lawyer","North Paige, Bouvet Island (Bouvetoya)","https://norton.com/mcguire-soto","51-200 employees","https://placekitten.com/200/200","7 job offers"
"Fitzpatrick, Newton and Arnold","Office manager, Fine artist","North Thomas, Syrian Arab Republic","https://yates-diaz.com/fitzpatrick--newton-and-arnold","1001-5000 employees","https://placekitten.com/200/200","0 job offers"
"Randall PLC","Colour technologist, Air traffic controller","Bakershire, Saint Pierre and Miquelon","https://montes.net/randall-plc","5001+ employees","https://dummyimage.com/200x200","30 job offers"
"Taylor, Fox and Sanchez","Commercial horticulturist","Kyletown, Bahamas","https://chapman-hernandez.com/taylor--fox-and-sanchez","1-10 employees","https://picsum.photos/200/200","32 job offers"
"Dodson, Hernandez and Harper","Psychologist, educational, Engineer, communications, Engineer, control and instrumentation","Gordonton, Malawi","https://hoffman-barrera.com/dodson--hernandez-and-harper","51-200 employees","https://dummyimage.com/200x200","6 job offers"
"Collier Group","Patent examiner, Call centre manager, Facilities manager","Mirandamouth, Cape Verde","https://clark-flynn.org/collier-group","11-50 employees","https://placekitten.com/200/200","11 job offers"
"Cruz PLC","Research officer, government, Sports administrator","Lake James, Northern Mariana Islands","https://krause-patel.info/cruz-plc","5001+ employees","https://picsum.photos/200/200","34 job offers"
"Rose-Wyatt","Production manager, Engineer, production, Risk analyst","Rosshaven, Timor-Leste","https://vargas.com/rose-wyatt","11-50 employees","https://picsum.photos/200/200","34 job offers"
"Weber, Perez and Wilson","Editor, commissioning, Broadcast presenter, Homeopath","Port Jodiborough, Trinidad and Tobago","https://crawford.com/weber--perez-and-wilson","201-500 employees","https://dummyimage.com/200x200","17 job offers"
"Hurley, Williamson and Thornton","Hydrogeologist, Editor, magazine features, product designer","Smithborough, Egypt","https://roberts.com/hurley--williamson-and-thornton","201-500 employees","https://placekitten.com/200/200","35 job offers"
"Mccormick PLC","Education officer, museum, Environmental consultant, Musician","Lake Lisaport, Kenya","https://johnson.biz/mccormick-plc","501-1000 employees","https://placekitten.com/200/200","19 job offers"
"Stephens and Sons","Building control surveyor","Bradshawside, Kiribati","https://daniel.com/stephens-and-sons","501-1000 employees","https://dummyimage.com/200x200","31 job offers"
"Huber and Sons","Teacher, English as a foreign language, Insurance broker","Baileyberg, Palestinian Territory","https://parker.com/huber-and-sons","5001+ employees","https://placekitten.com/200/200","6 job offers"
"Lewis LLC","voluntary organisations, Scientist, biomedical","Port Emilytown, Dominica","https://cunningham.com/lewis-llc","501-1000 employees","https://placekitten.com/200/200","4 job offers"
"Ford PLC","Clinical scientist, histocompatibility and immunogenetics, Metallurgist","South Victoria, Benin","https://zhang-king.com/ford-plc","1-10 employees","https://picsum.photos/200/200","5 job offers"
"Caldwell Ltd","Engineer, agricultural, Health service manager, film","Amandatown, Switzerland","https://bradley.com/caldwell-ltd","1001-5000 employees","https://dummyimage.com/200x200","18 job offers"
"Moore, Hanson and Moore","Marine scientist","North Brett, Puerto Rico","https://riley.com/moore--hanson-and-moore","5001+ employees","https://dummyimage.com/200x200","3 job offers"
"Rush Inc","Merchant navy officer, video","Wayneport, Niger","https://blevins.biz/rush-inc","1001-5000 employees","https://dummyimage.com/200x200","0 job offers"
"Schroeder Inc","Accountant, chartered management","South Donaldfort, Slovenia","https://howard.com/schroeder-inc","1001-5000 employees","https://placekitten.com/200/200","32 job offers"
"Wilson-Thomas","Tree surgeon, Amenity horticulturist, Health visitor","Lake Maryfurt, Namibia","https://howard.com/wilson-thomas","11-50 employees","https://picsum.photos/200/200","32 job offers"
"Williams-Young","Logistics and distribution manager","Lyonsfort, Uruguay","https://warren.net/williams-young","51-200 employees","https://dummyimage.com/200x200","32 job offers"
"Cooper-Burns","Engineer, technical sales, Herpetologist","Hayeston, Guatemala","https://reilly-robinson.com/cooper-burns","11-50 employees","https://picsum.photos/200/200","7 job offers"
"Hart, Garcia and White","Financial planner, Visual merchandiser","South Matthew, Lesotho","https://cruz-price.net/hart--garcia-and-white","5001+ employees","https://picsum.photos/200/200","4 job offers"
"Johnson Ltd","Exhibition designer, Multimedia programmer, textile technologist","Williamsstad, Montserrat","https://miller.com/johnson-ltd","1001-5000 employees","https://dummyimage.com/200x200","23 job offers"
"Villarreal Ltd","Ceramics designer","Hernandezside, Saudi Arabia","https://jackson.com/villarreal-ltd","1-10 employees","https://placekitten.com/200/200","35 job offers"
"Turner-Parsons","Scientist, clinical (histocompatibility and immunogenetics), Insurance broker","Juliamouth, Seychelles","https://ward.com/turner-parsons","501-1000 employees","https://picsum.photos/200/200","28 job offers"
"Foley, Jackson and Guerrero","Applications developer","North Rachel, Mauritius","https://farmer-middleton.com/foley--jackson-and-guerrero","1001-5000 employees","https://dummyimage.com/200x200","9 job offers"
"Wilson-Walls","Clinical psychologist, Special educational needs teacher","Port Martinport, Nicaragua","https://henderson.com/wilson-walls","11-50 employees","https://picsum.photos/200/200","30 job offers"
"Kline Ltd","Psychologist, educational, Physicist, medical, warden","East Shelby, Denmark","https://smith-clay.net/kline-ltd","51-200 employees","https://dummyimage.com/200x200","37 job offers"
"Brown-Benton","Community pharmacist","North Elizabeth, French Polynesia","https://mercado.com/brown-benton","1-10 employees","https://dummyimage.com/200x200","8 job offers"
"Martinez, King and Hall","Passenger transport manager, Theatre director","Hernandezbury, New Zealand","https://zuniga.biz/martinez--king-and-hall","1001-5000 employees","https://picsum.photos/200/200","2 job offers"
"Terry, Gardner and Richmond","Soil scientist, Sports administrator","West Brianaberg, Guernsey","https://castillo.com/terry--gardner-and-richmond","11-50 employees","https://placekitten.com/200/200","10 job offers"
"Sullivan-Jordan","Geologist, engineering","Jamesfort, France","https://melton-stewart.com/sullivan-jordan","5001+ employees","https://placekitten.com/200/200","38 job offers"
"Williams, Perry and Parker","Administrator","Port Adrianview, Russian Federation","https://christian.com/williams--perry-and-parker","501-1000 employees","https://dummyimage.com/200x200","12 job offers"
"Brown, Smith and Cannon","Rural practice surveyor, Hydrographic surveyor, Human resources officer","Williamsview, Palestinian Territory","https://gutierrez.com/brown--smith-and-cannon","11-50 employees","https://placekitten.com/200/200","40 job offers"
